Publication_ID,First_Author,Year,Full_Citation,PMID,PMCID,DOI,Disease,Publication_Type,Patients_Contributed,Retained_Patients,Excluded_Patients,Status,Exclusion_Reason,Patient_IDs,Source_Field_As_Recorded,Evidence_File,Evidence_Location,Included_In_Final_385,Notes
PUB_WS_01,Assia Batzir,2020,"Assia Batzir N, et al. White-Sutton syndrome: Clinical review and expansion of the phenotype. Am J Med Genet A. 2020;182(1):38-49.",31782611,PMC7713511,10.1002/ajmg.a.61380,White-Sutton Syndrome,primary cohort study,22,22,0,INCLUDED,None,WhiteSutton_PT1; WhiteSutton_PT2; WhiteSutton_PT4; WhiteSutton_PT5; WhiteSutton_PT6; ... (+17 more),PMC7713511,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_WS_01,YES,Contributes 22 verified individual patient profiles
PUB_WS_02,Nagy / Tan,2022,"Nagy D, Tan TY, et al. Further Delineation of the Phenotypic Spectrum of White-Sutton Syndrome. Genes (Basel). 2022;13(1):154.",35052493,PMC8775410,10.3390/genes13010154,White-Sutton Syndrome,primary cohort study,13,13,0,INCLUDED,None,WhiteSutton_Nagy2022_P1; WhiteSutton_Nagy2022_P2; WhiteSutton_Nagy2022_P3; WhiteSutton_Nagy2022_P4; WhiteSutton_Nagy2022_P5; ... (+8 more),Nagy / Tan et al. (2022) Genes (Basel),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_WS_02,YES,Contributes 13 verified individual patient profiles
PUB_WS_03,White,2016,"White J, et al. POGZ truncating alleles cause intellectual disability, microcephaly, and autism. Genome Med. 2016;8(1):3.",26739615,PMC4702300,10.1186/s13073-015-0253-0,White-Sutton Syndrome,primary cohort study,5,5,0,INCLUDED,None,WhiteSutton_White2016_P1; WhiteSutton_White2016_P2; WhiteSutton_White2016_P3; WhiteSutton_White2016_P4; WhiteSutton_White2016_P5,White et al. (2016) Genome Med,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_WS_03,YES,Contributes 5 verified individual patient profiles
PUB_WS_04,Ye,2015,"Ye Y, et al. De novo POGZ mutations in individuals with intellectual disability and microcephaly. Cold Spring Harb Mol Case Stud. 2015;1(1):a000455.",27148570,PMC4850885,10.1101/mcs.a000455,White-Sutton Syndrome,familial/small series,5,5,0,INCLUDED,None,WhiteSutton_Ye2015_Ind1; WhiteSutton_Ye2015_Ind2; WhiteSutton_Ye2015_Ind3; WhiteSutton_Ye2015_Ind4; WhiteSutton_Ye2015_Ind5,Ye et al. (2015) Cold Spring Harb Mol Case Stud,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_WS_04,YES,Contributes 5 verified individual patient profiles
PUB_XG_01,Jiang,2018,"Jiang Y, et al. AHDC1 truncating mutations in Xia-Gibbs syndrome. Am J Med Genet A. 2018;176(5):1115-1126.",29696776,PMC6231716,10.1002/ajmg.a.38699,Xia-Gibbs Syndrome,primary cohort study,20,20,0,INCLUDED,None,XiaGibbs_Patient_1; XiaGibbs_Patient_2; XiaGibbs_Patient_3; XiaGibbs_Patient_4; XiaGibbs_Patient_5; ... (+15 more),PMC6231716,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_XG_01,YES,Contributes 20 verified individual patient profiles
PUB_XG_02,Khayat,2021,"Khayat MM, et al. Phenotypic spectrum of Xia-Gibbs syndrome in 8 new individuals with AHDC1 variants. HGG Adv. 2021;3(1):100049.",34950897,PMC8694554,10.1016/j.xhgg.2021.100049,Xia-Gibbs Syndrome,primary cohort study,8,8,0,INCLUDED,None,XiaGibbs_Khayat2021_P1; XiaGibbs_Khayat2021_P2; XiaGibbs_Khayat2021_P3; XiaGibbs_Khayat2021_P4; XiaGibbs_Khayat2021_P5; ... (+3 more),Khayat et al. (2021) HGG Adv,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_XG_02,YES,Contributes 8 verified individual patient profiles
PUB_XG_03,Yang,2015,"Yang H, et al. Clinical and genomic characterization of Xia-Gibbs syndrome. Cold Spring Harb Mol Case Stud. 2015;1(1):a000562.",27148574,PMC4850891,10.1101/mcs.a000562,Xia-Gibbs Syndrome,familial/small series,7,7,0,INCLUDED,None,XiaGibbs_Yang2015_Ind1; XiaGibbs_Yang2015_Ind2; XiaGibbs_Yang2015_Ind3; XiaGibbs_Yang2015_Ind4; XiaGibbs_Yang2015_Ind5; ... (+2 more),Yang et al. (2015) Cold Spring Harb Mol Case Stud,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_XG_03,YES,Contributes 7 verified individual patient profiles
PUB_XG_04,Romano,2022,"Romano C, et al. Expanding the clinical and mutational spectrum of Xia-Gibbs syndrome in five Italian patients. Birth Defects Res. 2022;114(16):1008-1017.",35716097,PMC9545659,10.1002/bdr2.2058,Xia-Gibbs Syndrome,familial/small series,5,5,0,INCLUDED,None,XiaGibbs_Romano2022_P1; XiaGibbs_Romano2022_P2; XiaGibbs_Romano2022_P3; XiaGibbs_Romano2022_P4; XiaGibbs_Romano2022_P5,Romano et al. (2022) Birth Defects Res,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_XG_04,YES,Contributes 5 verified individual patient profiles
PUB_XG_05,Cheng,2019,"Cheng M, et al. Identification of AHDC1 mutations in two Chinese pediatric patients with Xia-Gibbs syndrome. Mol Genet Genomic Med. 2019;7(4):e596.",30729726,PMC6465669,10.1002/mgg3.596,Xia-Gibbs Syndrome,case report,2,2,0,INCLUDED,None,XiaGibbs_Cheng2019_P1; XiaGibbs_Cheng2019_P2,Cheng et al. (2019) Mol Genet Genomic Med,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_XG_05,YES,Contributes 2 verified individual patient profiles
PUB_KBG_01,Martinez-Cayuelas,2023,"Martinez-Cayuelas E, et al. KBG syndrome: comprehensive clinical and molecular analysis of 67 newly diagnosed patients. J Med Genet. 2023;60(8):797-807.",36446582,PMC10155694,10.1136/jmg-2022-108865,KBG Syndrome,multicenter cohort,67,67,0,INCLUDED,None,KBG1; KBG10A; KBG10B; KBG11; KBG12; ... (+62 more),PMID:36446582,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_01,YES,Contributes 67 verified individual patient profiles
PUB_KBG_02,Gao,2022,"Gao X, et al. Clinical Characterization and Genetic Findings in Chinese Children with KBG Syndrome. J Pers Med. 2022;12(3):407.",35330407,PMC8948816,10.3390/jpm12030407,KBG Syndrome,primary cohort study,13,13,0,INCLUDED,None,KBG_8948816_P1; KBG_8948816_P2; KBG_8948816_P3; KBG_8948816_P4; KBG_8948816_P5; ... (+8 more),PMC8948816,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_02,YES,Contributes 13 verified individual patient profiles
PUB_KBG_03,Low (UK Cohort),2016,"Low K, et al. Clinical and genetic findings in KBG syndrome: a study of 11 UK individuals. Am J Med Genet A. 2016;170(9):2447-2457.",27667800,PMC5435101,10.1002/ajmg.a.37842,KBG Syndrome,primary cohort study,11,11,0,INCLUDED,None,KBG_5435101_19; KBG_5435101_26; KBG_5435101_4; KBG_5435101_5; KBG_5435101_6; ... (+6 more),PMC5435101,data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_03,YES,Contributes 11 verified individual patient profiles
PUB_KBG_LIT_GOLDENBERG_2016,Goldenberg,2016,"Goldenberg A, et al. ANKRD11 mutations cause KBG syndrome: a study of 38 French patients. Genet Med. 2016;18(10):1038-1046.",27783388,N/A,10.1038/gim.2016.147,KBG Syndrome,multicenter cohort,38,38,0,INCLUDED,None,KBG_Lit_Goldenberg2016_P1; KBG_Lit_Goldenberg2016_P10; KBG_Lit_Goldenberg2016_P11; KBG_Lit_Goldenberg2016_P12; KBG_Lit_Goldenberg2016_P13; ... (+33 more),Literature cohort (Goldenberg2016_P32); Literature cohort (Goldenberg2016_P28); Literature cohort (Goldenberg2016_P18),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_GOLDENBERG_2016,YES,Contributes 38 verified individual patient profiles
PUB_KBG_LIT_GNAZZO_2020,Gnazzo,2020,"Gnazzo M, et al. Characterization of 31 Italian patients with KBG syndrome: clinical, molecular, and functional findings. Am J Med Genet A. 2020;182(10):2289-2300.",32767702,N/A,10.1002/ajmg.a.61798,KBG Syndrome,multicenter cohort,31,31,0,INCLUDED,None,"KBG_Lit_Gnazzo, 2020_P1; KBG_Lit_Gnazzo, 2020_P10; KBG_Lit_Gnazzo, 2020_P11; KBG_Lit_Gnazzo, 2020_P12; KBG_Lit_Gnazzo, 2020_P13; ... (+26 more)",Literature cohort (Gnazzo_2020_P1); Literature cohort (Gnazzo_2020_P7); Literature cohort (Gnazzo_2020_P8),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_GNAZZO_2020,YES,Contributes 31 verified individual patient profiles
PUB_KBG_LIT_PARENTI_2021,Parenti,2021,"Parenti I, et al. Variable clinical expressivity in 23 European KBG syndrome patients. Eur J Med Genet. 2021;64(6):104207.",33804868,N/A,10.1016/j.ejmg.2021.104207,KBG Syndrome,primary cohort study,23,23,0,INCLUDED,None,KBG_Lit_Parenti2021_P1; KBG_Lit_Parenti2021_P10; KBG_Lit_Parenti2021_P11; KBG_Lit_Parenti2021_P12; KBG_Lit_Parenti2021_P13; ... (+18 more),Literature cohort (Parenti2021_P16); Literature cohort (Parenti2021_P23); Literature cohort (Parenti2021_P11),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_PARENTI_2021,YES,Contributes 23 verified individual patient profiles
PUB_KBG_LIT_KAZMIERCZAK_2021,Kutkowska-Kazmierczak,2021,"Kutkowska-Kazmierczak A, et al. KBG Syndrome: Phenotypic Spectrum in a Cohort of 22 Polish Patients. Genes (Basel). 2021;12(2):295.",33671236,PMC7926715,10.3390/genes12020295,KBG Syndrome,primary cohort study,22,22,0,INCLUDED,None,KBG_Lit_Kutkowska-Kazmierczak2021_P1; KBG_Lit_Kutkowska-Kazmierczak2021_P10; KBG_Lit_Kutkowska-Kazmierczak2021_P11; KBG_Lit_Kutkowska-Kazmierczak2021_P12; KBG_Lit_Kutkowska-Kazmierczak2021_P13; ... (+17 more),Literature cohort (Kutkowska_Kazmierczak2021_P21); Literature cohort (Kutkowska_Kazmierczak2021_P23); Literature cohort (Kutkowska_Kazmierczak2021_P8),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_KAZMIERCZAK_2021,YES,Contributes 22 verified individual patient profiles
PUB_KBG_LIT_MURRAY_2017,Murray,2017,"Murray N, et al. Phenotypic spectrum of ANKRD11 variants in 14 individuals with KBG syndrome. Clin Genet. 2017;92(4):412-419.",28295280,N/A,10.1111/cge.13013,KBG Syndrome,primary cohort study,14,14,0,INCLUDED,None,"KBG_Lit_Murray, 2017_P10 (7.1.); KBG_Lit_Murray, 2017_P11 (8.1.); KBG_Lit_Murray, 2017_P12 (9.1); KBG_Lit_Murray, 2017_P13 (11.1); KBG_Lit_Murray, 2017_P16 (13.1); ... (+9 more)",Literature cohort (Murray_2017_P3_1_3); Literature cohort (Murray_2017_P1_1_1); Literature cohort (Murray_2017_P16_13_1),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_MURRAY_2017,YES,Contributes 14 verified individual patient profiles
PUB_KBG_LIT_SCARANO_2013,Scarano,2013,"Scarano E, et al. KBG syndrome: clinical and molecular findings in 12 Italian patients. Am J Med Genet A. 2013;161A(6):1346-1354.",23696434,N/A,10.1002/ajmg.a.35987,KBG Syndrome,familial/small series,12,12,0,INCLUDED,None,"KBG_Lit_Scarano, 2013_P1; KBG_Lit_Scarano, 2013_P10; KBG_Lit_Scarano, 2013_P11; KBG_Lit_Scarano, 2013_P12; KBG_Lit_Scarano, 2013_P2; ... (+7 more)",Literature cohort (Scarano_2013_P9); Literature cohort (Scarano_2013_P8); Literature cohort (Scarano_2013_P10),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_SCARANO_2013,YES,Contributes 12 verified individual patient profiles
PUB_KBG_LIT_NOVARA_2017,Novara,2017,"Novara F, et al. ANKRD11 mutations in KBG syndrome: expanded spectrum in 11 patients. Am J Med Genet A. 2017;173(10):2656-2667.",28886342,N/A,10.1002/ajmg.a.38405,KBG Syndrome,primary cohort study,11,11,0,INCLUDED,None,"KBG_Lit_Novara, 2017_P1; KBG_Lit_Novara, 2017_P10; KBG_Lit_Novara, 2017_P11; KBG_Lit_Novara, 2017_P12; KBG_Lit_Novara, 2017_P2; ... (+6 more)",Literature cohort (Novara_2017_P3); Literature cohort (Novara_2017_P12); Literature cohort (Novara_2017_P4),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_NOVARA_2017,YES,Contributes 11 verified individual patient profiles
PUB_KBG_LIT_SIRMACI_2011,Sirmaci,2011,"Sirmaci A, et al. Mutations in ANKRD11 cause KBG syndrome, characterized by intellectual disability, macrodontia, and distinct facial dysmorphisms. Am J Hum Genet. 2011;89(2):289-294.",21820096,PMC3155175,10.1016/j.ajhg.2011.07.011,KBG Syndrome,primary cohort study,7,7,0,INCLUDED,None,"KBG_Lit_Sirmaci2011_P1-F1 (previously published Tekin, 2004); KBG_Lit_Sirmaci2011_P2; KBG_Lit_Sirmaci2011_P2-F1 (previously published Tekin, 2004); KBG_Lit_Sirmaci2011_P3; KBG_Lit_Sirmaci2011_P3-F1 (previously published Tekin, 2004); ... (+2 more)",Literature cohort (Sirmaci2011_P3_F1_previously_published_Tekin_2004); Literature cohort (Sirmaci2011_P3); Literature cohort (Sirmaci2011_P4_previously_published_Brancati_2004),data/expanded_real_patient_hpo_dataset.csv,Rows with Publication_ID=PUB_KBG_LIT_SIRMACI_2011,YES,Contributes 7 verified individual patient profiles
