Publication,Year,Journal,PMID,PMCID,DOI,Disease,Total_Patients_Extracted,Status
Assia Batzir et al.,2020,Am J Med Genet A,31782611,PMC7713511,10.1002/ajmg.a.61380,White-Sutton Syndrome,22,Baseline Cohort
Nagy / Tan et al.,2022,Genes (Basel),35052493,PMC8775410,10.3390/genes13010154,White-Sutton Syndrome,13,Newly Added
White et al.,2016,Genome Med,26739615,PMC4702300,10.1186/s13073-015-0253-0,White-Sutton Syndrome,5,Newly Added
Ye et al.,2015,Cold Spring Harb Mol Case Stud,27148570,PMC4850885,10.1101/mcs.a000455,White-Sutton Syndrome,5,Newly Added
Jiang et al.,2018,Am J Med Genet A,29696776,PMC6231716,10.1002/ajmg.a.38699,Xia-Gibbs Syndrome,20,Baseline Cohort
Khayat et al.,2021,HGG Adv,34950897,PMC8694554,10.1016/j.xhgg.2021.100049,Xia-Gibbs Syndrome,8,Newly Added
Yang et al.,2015,Cold Spring Harb Mol Case Stud,27148574,PMC4850891,10.1101/mcs.a000562,Xia-Gibbs Syndrome,7,Newly Added
Romano et al.,2022,Birth Defects Res,35716097,PMC9545659,10.1002/bdr2.2058,Xia-Gibbs Syndrome,5,Newly Added
Cheng et al.,2019,Mol Genet Genomic Med,30729726,PMC6465669,10.1002/mgg3.596,Xia-Gibbs Syndrome,2,Newly Added
Martinez-Cayuelas et al.,2023,J Med Genet,36446582,None,10.1136/jmg-2022-108865,KBG Syndrome,67,Baseline Cohort
Goldenberg et al.,2016,Genet Med,27783388,None,10.1038/gim.2016.147,KBG Syndrome,38,Newly Added
Gnazzo et al.,2020,Am J Med Genet A,32767702,None,10.1002/ajmg.a.61798,KBG Syndrome,31,Newly Added
Parenti et al.,2021,Eur J Med Genet,33804868,None,10.1016/j.ejmg.2021.104207,KBG Syndrome,23,Newly Added
Kutkowska-Kazmierczak et al.,2021,Genes (Basel),33671236,None,10.3390/genes12020295,KBG Syndrome,22,Newly Added
Gao et al.,2022,J Pers Med,35330407,PMC8948816,10.3390/jpm12030407,KBG Syndrome,13,Baseline Cohort
Scarano et al.,2013,Am J Med Genet A,23696434,None,10.1002/ajmg.a.35987,KBG Syndrome,12,Newly Added
Low et al.,2016,Am J Med Genet A,27667800,PMC5435101,10.1002/ajmg.a.37842,KBG Syndrome,11,Baseline Cohort
Novara et al.,2017,Am J Med Genet A,28886342,None,10.1002/ajmg.a.38405,KBG Syndrome,11,Newly Added
Sirmaci et al.,2011,Am J Hum Genet,21820096,None,10.1016/j.ajhg.2011.07.011,KBG Syndrome,7,Newly Added
Van Dongen et al.,2019,Eur J Hum Genet,30612683,None,10.1038/s41431-018-0326-7,KBG Syndrome,7,Newly Added
Literature Case Reports (18 studies),2011,Various Medical Genetics Journals,Multiple,None,Various,KBG Syndrome,56,Newly Added
